"Name","Days.Old","Inf.","Position","Nat","Age","Club","Ability","Potential","Transfer.Value","Wage","Min.AP","Min.Fee.Rls","Min.Fee.Rls.to.Foreign.Clubs","Personality","Media.Handling","Media.Description","Expires","Left.Foot","Right.Foot","Av.Rat","Apps","X1v1","Acc","Aer","Agg","Agi","Ant","Bal","Bra","Cmd","Cnt","Cmp","Cro","Dec","Det","Dri","Fin","Fir","Fla","Han","Hea","Jum","Kic","Ldr","Lon","Mar","OtB","Pac","Pas","Pos","Ref","Sta","Str","Tck","Tea","Tec","Thr","TRO","Vis","Wor","UID","Cor","Height","Unnamed..1_level_0","Unnamed..2_level_0","Unnamed..3_level_0","Unnamed..4_level_0","Playing.Time","Playing.Time.1","Playing.Time.2","Performance","Performance.1","Performance.2","Performance.3","Performance.4","Performance.5","Performance.6","Performance.7","Expected","Expected.1","Expected.2","Expected.3","Progression","Progression.1","Progression.2","Per.90.Minutes","Per.90.Minutes.1","Per.90.Minutes.2","Per.90.Minutes.3","Per.90.Minutes.4","Per.90.Minutes.5","Per.90.Minutes.6","Per.90.Minutes.7","Per.90.Minutes.8","Per.90.Minutes.9","Unnamed..33_level_0"
"Andrea Sorrentino","-","Yth","GK","ITA",16,"Napoli","Unknown","Unknown","€18K - €50K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young goalkeeper","30/6/2026","Weak","Very Strong","-","-",8,8,13,10,6,5,6,10,6,9,3,2,13,5,2,3,2,1,13,1,15,11,3,1,2,2,5,9,4,13,2,7,3,6,3,9,5,5,5,2000269088,2,"187 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angelo Giglio","-","Yth","ST (C)","ITA",16,"Napoli","Unknown","Unknown","€16K - €50K","€1,100 p/m","-","-","-","Determined","Media-friendly","Young striker","30/6/2026","Reasonable","Very Strong","-","-",3,12,2,5,10,5,1,6,4,1,11,4,8,18,10,12,8,5,2,12,8,2,2,4,1,12,10,3,3,3,2,2,1,3,4,2,3,4,5,2000294410,3,"186 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carmine Campanile","-","Yth","M/AM (L)","ITA",16,"Napoli","Unknown","Unknown","€10K - €30K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young winger","30/6/2026","Very Strong","Reasonable","-","-",2,12,2,13,12,2,5,5,2,5,2,10,6,2,11,6,12,11,1,2,4,2,1,5,1,4,12,5,1,4,3,2,3,4,10,2,3,3,5,2000242673,5,"171 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cedrick Koffi","-","Loa","AM (RLC)","CIV",18,"Napoli","Unknown","Unknown","€35K - €100K","€2,500 p/m","-","-","-","Balanced","Level-headed","Young winger","30/6/2025","Weak","Very Strong","-","-",1,14,1,12,10,9,14,8,2,7,5,9,7,6,14,14,8,11,1,7,7,3,1,10,7,10,11,12,6,3,8,2,7,7,12,2,1,6,12,2000024758,7,"169 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Garofalo","-","Yth","D (LC)","ITA",16,"Napoli","Unknown","Unknown","€26K - €80K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young centre-back","30/6/2026","Very Strong","Weak","-","-",1,9,2,9,10,6,6,8,1,7,1,3,13,11,3,2,6,5,2,8,10,3,7,4,12,3,10,4,13,2,6,3,13,5,5,3,1,1,6,2000269083,3,"179 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Raggioli","-","Yth","ST (C)","ITA",17,"Napoli","Unknown","Unknown","€7K - €20K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young striker","30/6/2025","Weak","Very Strong","-","-",3,12,3,8,10,9,4,3,3,3,7,2,5,6,5,12,12,10,1,12,5,1,1,4,1,9,12,4,4,4,9,2,3,3,8,1,1,3,5,2000242674,2,"178 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Claudio Turi","-","Loa","GK","ITA",18,"Napoli","Unknown","Unknown","€30K - €90K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young goalkeeper","30/6/2024","Fairly Strong","Very Strong","-","-",7,6,7,10,6,12,7,9,11,7,5,2,13,11,1,2,6,1,14,1,9,14,7,2,3,3,5,8,9,11,4,5,3,7,4,11,8,6,6,2000098044,2,"188 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diego Demme","-","Wnt","DM, M (C)","GER",31,"Napoli","Unknown","Unknown","€550K - €1.6M","€268,000 p/m","-","-","-","Perfectionist","Reserved","Defensive midfielder","30/6/2024","Reasonable","Very Strong","-","-",3,12,4,17,13,13,14,17,1,12,13,10,12,17,10,8,12,8,2,9,6,2,11,11,14,11,11,15,14,2,11,13,17,16,12,3,2,11,17,92023691,5,"170 cm","de GER","MF","32-094","2","1","73.0","0.8","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","3.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Matches"
"Eljif Elmas","-","nEU","M/AM (LC)","MKD",23,"Napoli","Unknown","Unknown","€25M - €76M","€232,000 p/m","-","-","-","Fairly Ambitious","Level-headed","Midfielder","30/6/2025","Fairly Strong","Very Strong","-","-",3,14,3,14,14,13,14,13,1,11,15,12,13,13,15,13,15,14,3,12,12,1,8,13,8,15,13,16,11,2,12,12,10,14,15,2,2,13,15,47064795,10,"182 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emmanuele De Chiara","-","Yth","M (C)","ITA",17,"Napoli","Unknown","Unknown","€9K - €28K","€1,100 p/m","-","-","-","Fairly Professional","Reserved","Young midfielder","30/6/2025","Fairly Strong","Very Strong","-","-",2,12,2,10,10,2,1,1,2,5,4,3,10,2,1,4,9,5,2,1,7,4,3,4,3,2,11,11,5,1,4,2,9,5,8,1,3,12,9,2000205861,3,"182 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ernesto Ballabile","-","Yth","M/AM (R), ST (C)","ITA",16,"Napoli","Unknown","Unknown","€9K - €26K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young winger","30/6/2026","Reasonable","Very Strong","-","-",3,12,3,10,12,5,4,5,2,3,2,6,4,8,8,8,12,10,1,5,8,2,1,4,1,4,12,9,3,1,5,3,4,4,8,3,2,4,1,2000242801,3,"181 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fabio Lupacchio","-","Yth","D (R)","ITA",16,"Napoli","Unknown","Unknown","€10K - €30K","€1,100 p/m","-","-","-","Fairly Determined","Media-friendly","Young full-back","30/6/2026","Weak","Very Strong","-","-",2,10,3,9,13,5,4,9,2,8,5,9,9,17,4,3,12,9,2,8,7,1,8,4,9,7,13,7,5,1,6,6,14,8,9,1,3,3,8,2000269086,5,"174 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Favour Enoghegase","-","Yth","D (C)","ITA",15,"Napoli","Unknown","Unknown","€24K - €70K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young centre-back","30/6/2027","Reasonable","Very Strong","-","-",1,11,2,10,7,6,6,8,1,7,4,1,13,10,1,3,5,5,2,8,13,1,4,2,13,1,7,6,6,4,3,8,13,5,5,2,1,1,6,2000269081,1,"190 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Francesco Di Giovanni","-","Yth","AM (R), ST (C)","ITA",17,"Napoli","Unknown","Unknown","€12K - €35K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young winger","30/6/2025","Reasonable","Very Strong","-","-",3,12,3,5,11,3,4,6,1,3,5,8,9,13,11,8,8,9,3,5,6,1,1,3,2,4,12,10,3,1,2,3,4,4,8,2,3,5,5,2000203267,3,"177 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Francesco Distratto","-","Yth","D/WB/M (L)","ITA",16,"Napoli","Unknown","Unknown","€18K - €55K","€1,100 p/m","-","-","-","Determined","Media-friendly","Young full-back","30/6/2026","Very Strong","Weak","-","-",4,14,2,11,9,4,3,8,1,5,6,8,7,19,7,4,8,7,3,6,16,2,11,2,8,7,11,7,4,2,12,8,9,7,8,1,3,8,8,2000269080,6,"187 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Francesco Gioielli","-","Wnt","DM, M (C)","ITA",19,"Napoli","Unknown","Unknown","€30K - €90K","€2,700 p/m","-","-","-","Balanced","Media-friendly","Young midfielder","30/6/2024","Weak","Very Strong","-","-",3,10,1,12,11,9,12,10,4,11,8,6,9,8,7,8,9,5,3,12,10,2,8,9,10,10,10,11,12,3,13,11,11,11,7,1,3,9,10,2000072591,4,"176 cm","it ITA","MF","19-362","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","Matches"
"Francesco Gisondi","-","Yth","GK","ITA",16,"Napoli","Unknown","Unknown","€16K - €50K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young goalkeeper","30/6/2026","Reasonable","Very Strong","-","-",6,10,12,7,7,3,5,9,7,9,5,3,12,13,2,2,1,3,12,1,15,7,6,3,3,1,6,5,5,12,1,7,3,5,1,7,8,4,4,2000269085,3,"195 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Francesco Lorusso","-","Loa","ST (C)","ITA",18,"Napoli","Unknown","Unknown","€16K - €45K","€1,100 p/m","-","-","-","Fairly Determined","Media-friendly","Young striker","30/6/2024","Reasonable","Very Strong","-","-",2,12,2,11,11,8,4,6,1,5,4,5,6,17,12,12,10,7,2,12,12,2,10,5,1,12,12,5,4,1,4,3,1,4,6,3,2,5,5,2000103538,4,"186 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giacomo Raspadori","-","","AM (RLC), ST (C)","ITA",23,"Napoli","Unknown","Unknown","€18.5M - €56M","€386,000 p/m","-","-","-","Fairly Professional","Level-headed","Striker","30/6/2027","Strong","Very Strong","-","-",3,15,3,12,16,14,15,11,3,12,14,11,13,14,13,14,15,16,3,11,7,3,11,12,4,16,14,13,4,3,12,11,6,14,15,1,3,13,14,43316850,13,"172 cm","it ITA","FW,MF","24-005","24","11","1168.0","13.0","3.0","2.0","5.0","3.0","0.0","1.0","0.0","0.0","4.0","3.2","2.5","5.8","18.0","40.0","97.0","0.23","0.15","0.39","0.23","0.39","0.31","0.2","0.5","0.25","0.44","Matches"
"Gianluca Gaetano","-","Inj","M/AM (RLC)","ITA",23,"Napoli","Unknown","Unknown","€1.3M - €3.8M","€15,750 p/m","-","-","-","Balanced","Level-headed","Attacking midfielder","30/6/2025","Reasonable","Very Strong","-","-",1,13,1,9,14,13,11,8,2,8,11,12,11,14,15,13,14,14,1,7,8,2,7,12,6,14,13,13,9,1,15,10,7,14,14,1,3,13,12,43317758,13,"183 cm","it ITA","MF","23-294","9","1","161.0","1.8","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.6","0.6","0.5","1.1","6.0","6.0","5.0","0.56","0.0","0.56","0.56","0.56","0.35","0.27","0.62","0.35","0.62","Matches"
"Gianluca Vigliotti","-","Yth","ST (C)","ITA",18,"Napoli","Unknown","Unknown","€10K - €35K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young striker","30/6/2024","Reasonable","Very Strong","-","-",4,13,1,8,11,10,3,5,2,4,7,2,8,5,5,5,13,12,3,13,9,3,10,5,2,7,13,5,4,4,8,6,1,4,8,1,3,4,5,2000135566,1,"179 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giovanni Di Lorenzo","-","","D/WB/M (R)","ITA",29,"Napoli","Unknown","Unknown","€63M - €189M","€463,000 p/m","-","-","-","Spirited","Evasive","Full-back","30/6/2026","Reasonable","Very Strong","-","-",3,15,2,15,14,14,16,16,1,13,14,13,14,17,11,11,12,6,1,17,14,3,15,12,14,14,17,13,13,1,17,14,16,17,11,3,4,11,17,43075156,4,"183 cm","it ITA","DF","30-203","24","24","2160.0","24.0","1.0","5.0","6.0","1.0","0.0","0.0","5.0","0.0","1.9","1.9","4.0","5.9","55.0","195.0","162.0","0.04","0.21","0.25","0.04","0.25","0.08","0.17","0.25","0.08","0.24","Matches"
"Giovanni Simeone","-","","ST (C)","ARG",27,"Napoli","Unknown","Unknown","€6M - €18M","€277,000 p/m","-","-","-","Perfectionist","Level-headed","Nomadic striker","30/6/2026","Reasonable","Very Strong","-","-",2,14,1,12,12,15,14,14,1,13,12,6,12,18,12,16,13,11,2,16,16,3,9,12,4,16,15,11,3,2,16,14,7,15,13,1,2,11,18,14031138,4,"180 cm","ar ARG","FW","28-233","18","6","605.0","6.7","1.0","0.0","1.0","1.0","0.0","0.0","3.0","0.0","2.9","2.9","0.3","3.3","6.0","8.0","52.0","0.15","0.0","0.15","0.15","0.15","0.44","0.05","0.49","0.44","0.49","Matches"
"Giuseppe D'Angelo","-","Yth","DM, M (C)","ITA",17,"Napoli","Unknown","Unknown","€7K - €22K","€1,100 p/m","-","-","-","Fairly Determined","Media-friendly","Young midfielder","30/6/2025","Reasonable","Very Strong","-","-",3,12,2,14,10,5,4,4,1,1,3,3,9,15,5,4,11,5,2,2,12,3,9,8,5,4,10,11,4,3,9,4,11,6,6,1,2,6,10,2000205860,3,"184 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hubert Idasiak","-","Loa","GK","POL",21,"Napoli","Unknown","Unknown","€55K - €170K","€14,250 p/m","-","-","-","Balanced","Media-friendly","Young goalkeeper","30/6/2024","Reasonable","Very Strong","-","-",13,9,14,11,9,10,8,10,8,11,8,1,14,5,3,1,7,2,14,1,12,7,2,2,2,2,9,9,8,14,6,5,1,8,5,11,5,2,7,43461798,1,"185 cm","pl POL","GK","22-020","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","Matches"
"Jacopo Di Lauro","-","Loa","D/WB (L)","ITA",17,"Napoli","Unknown","Unknown","€18K - €50K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young full-back","30/6/2025","Very Strong","Fairly Strong","-","-",2,12,3,10,11,5,7,8,1,8,3,11,13,4,3,1,8,7,3,7,4,1,9,5,8,6,11,8,10,1,6,6,9,7,6,1,3,7,7,2000135558,5,"178 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jens Cajuste","-","","DM, M (C)","SWE",23,"Napoli","Unknown","Unknown","€6M - €18M","€128,000 p/m","-","-","-","Balanced","Level-headed","Defensive midfielder","30/6/2028","Fairly Strong","Very Strong","-","-",1,13,3,16,12,13,15,12,3,13,14,7,13,14,12,8,12,13,2,12,13,2,10,11,13,13,13,13,12,2,14,15,13,15,13,3,3,12,17,93069729,10,"188 cm","se SWE","MF","24-197","17","6","582.0","6.5","0.0","1.0","1.0","0.0","0.0","0.0","5.0","0.0","1.0","1.0","0.2","1.2","11.0","21.0","30.0","0.0","0.15","0.15","0.0","0.15","0.15","0.04","0.19","0.15","0.19","Matches"
"Jesper Lindstrøm","-","Loa","AM (RLC)","DEN",23,"Napoli","Unknown","Unknown","€15M - €45M","€246,000 p/m","-","-","-","Fairly Ambitious","Level-headed","Attacking midfielder","30/6/2028","Reasonable","Very Strong","-","-",2,16,3,11,16,13,10,12,1,11,12,11,13,13,14,12,12,15,1,7,9,1,6,11,8,15,15,13,9,2,13,8,10,12,14,1,2,13,15,27143432,13,"182 cm","dk DEN","FW,MF","23-359","15","1","306.0","3.4","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.6","0.6","0.9","1.5","14.0","12.0","23.0","0.0","0.0","0.0","0.0","0.0","0.18","0.27","0.45","0.18","0.45","Matches"
"Juan Jesus","-","nEU","D (LC)","BRA",32,"Napoli","Unknown","Unknown","€2.4M - €7.4M","€232,000 p/m","-","-","-","Perfectionist","Level-headed","Powerful centre-back","30/6/2025","Very Strong","Weak","-","-",3,14,1,16,13,13,17,17,1,11,11,10,11,17,11,6,11,7,3,14,13,3,13,6,15,9,15,12,13,2,16,17,17,14,11,3,1,11,17,19042304,4,"185 cm","br BRA","DF","32-258","14","13","1216.0","13.5","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.4","0.4","0.2","0.6","3.0","43.0","2.0","0.0","0.0","0.0","0.0","0.0","0.03","0.02","0.05","0.03","0.05","Matches"
"Khvicha Kvaratskhelia","-","nEU","AM (L)","GEO",22,"Napoli","Unknown","Unknown","€66M - €197M","€128,000 p/m","-","-","-","Resilient","Evasive, Reserved","Confident winger","30/6/2027","Strong","Very Strong","-","-",2,15,1,11,18,12,14,12,3,12,16,14,15,17,19,15,19,19,3,11,9,1,10,14,4,13,14,16,5,3,11,10,7,11,18,2,1,15,12,59130638,8,"183 cm","ge GEO","FW","23-011","22","20","1739.0","19.3","6.0","3.0","9.0","6.0","0.0","0.0","6.0","0.0","7.9","7.8","4.0","11.8","126.0","57.0","160.0","0.31","0.16","0.47","0.31","0.47","0.41","0.21","0.62","0.41","0.61","Matches"
"Landry Boni","-","Loa","M (C)","CIV",19,"Napoli","Unknown","Unknown","€12K - €40K","€2,300 p/m","-","-","-","Balanced","Media-friendly","Young midfielder","30/6/2024","Weak","Very Strong","-","-",2,8,2,11,13,5,8,4,2,7,6,6,15,5,9,9,12,9,2,7,5,2,1,7,8,9,11,13,9,2,9,2,9,8,7,1,1,8,13,2000019712,7,"169 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
