Days Old,Inf,Name,Position,Nat,Age,Club,Ability,Potential,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Media Description,Expires,Left Foot,Right Foot,Av Rat,Apps,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,UID,Cor,Height
-,Inj,Jan Thielmann,"M (R), AM (RL), ST (C)",GER,21,1. FC Köln,Unknown,Unknown,€5.4M - €16.5M,"€104,000 p/m",-,-,-,Resolute,Reserved,Enthusiastic winger,30/6/2026,Weak,Very Strong,-,-,3,16,3,16,13,11,10,16,3,10,10,12,9,17,12,11,10,13,2,8,9,1,6,11,8,12,15,11,8,2,15,10,9,15,12,1,3,11,18,91185080,10,178 cm
-,,Timo Hübers,D (C),GER,26,1. FC Köln,Unknown,Unknown,€3.4M - €10M,"€83,000 p/m",-,-,-,Professional,Reserved,Powerful centre-back,30/6/2026,Reasonable,Very Strong,-,-,1,12,2,16,10,15,14,16,2,12,12,6,13,16,8,7,10,7,4,14,15,2,13,7,14,7,15,12,14,1,12,15,15,14,10,1,2,11,14,91153061,4,190 cm
-,Lst,Florian Dietz,ST (C),GER,24,1. FC Köln,Unknown,Unknown,€400K,"€33,000 p/m",-,-,-,Resolute,Level-headed,Striker,30/6/2025,Reasonable,Very Strong,-,-,1,11,1,14,11,13,13,14,2,11,12,8,11,16,12,13,11,11,1,12,14,3,8,11,7,13,13,9,7,3,12,14,7,13,11,1,1,9,16,91151947,6,190 cm
-,Yth,Keyhan Sancarbarlaz,"DM, M/AM (C)",TUR,16,1. FC Köln,Unknown,Unknown,€75K - €230K,€275 p/m,-,-,-,Balanced,Level-headed,Young midfielder,30/6/2025,Strong,Very Strong,-,-,2,12,3,5,8,3,3,7,2,7,6,5,9,13,7,10,9,13,2,5,8,3,9,6,5,2,8,9,9,1,10,3,11,7,13,2,1,8,12,2000263479,2,181 cm
-,,Denis Huseinbašić,"DM, M/AM (C)",GER,22,1. FC Köln,Unknown,Unknown,€3.1M - €9.2M,"€33,000 p/m",-,-,-,Resolute,Level-headed,Tireless midfielder,30/6/2025,Reasonable,Very Strong,-,-,3,13,1,15,13,12,12,13,4,11,11,12,11,15,13,12,13,12,1,10,11,3,8,11,11,14,13,12,12,3,16,10,13,15,13,2,3,11,16,91204803,12,184 cm
-,Yth,Gabriel Miocevic,"D (LC), WB (L)",CRO,17,1. FC Köln,Unknown,Unknown,€35K - €100K,€275 p/m,-,-,-,Balanced,Level-headed,Young centre-back,30/6/2024,Very Strong,Fairly Strong,-,-,2,15,1,5,10,8,9,8,3,7,7,11,6,13,5,6,9,5,1,7,12,2,9,6,10,4,13,9,12,3,8,7,14,8,9,1,3,6,9,2000263474,6,185 cm
-,,Luca Kilian,D (C),GER,23,1. FC Köln,Unknown,Unknown,€1.9M - €5.6M,"€75,000 p/m",-,-,-,Fairly Sporting,Level-headed,Centre-back,30/6/2025,Fairly Strong,Very Strong,-,-,2,12,3,15,9,12,14,16,3,12,13,7,12,12,10,7,10,8,2,13,15,2,11,7,14,8,15,12,13,1,12,15,14,15,10,3,2,11,15,91172547,3,192 cm
-,Inj,Mark Uth,"AM (C), ST (C)",GER,31,1. FC Köln,Unknown,Unknown,Not for Sale,"€129,000 p/m",-,-,-,Balanced,Media-friendly,Striker,30/6/2025,Very Strong,Reasonable,-,-,3,12,1,14,13,13,13,12,1,12,13,11,13,9,13,12,14,13,3,12,11,1,13,13,7,13,13,14,8,3,13,11,8,12,14,3,1,14,12,91014816,13,185 cm
-,Yth,Fayssal Harchaoui,"D (C), DM, M (C)",GER,17,1. FC Köln,Unknown,Unknown,€120K - €350K,€275 p/m,-,-,-,Balanced,Level-headed,Young midfielder,30/6/2024,Fairly Strong,Very Strong,-,-,1,13,1,10,14,9,8,8,4,5,6,7,14,13,3,4,9,5,2,8,8,4,6,9,5,8,14,11,14,1,7,7,10,8,9,1,3,7,12,2000180870,7,175 cm
-,,Jakob Krautkrämer,D/WB (R),GER,18,1. FC Köln,Unknown,Unknown,€26K - €80K,"€2,800 p/m",-,-,-,Balanced,Level-headed,Young full-back,30/6/2024,Reasonable,Very Strong,-,-,4,15,2,7,11,6,8,5,3,5,9,12,12,13,8,2,12,9,2,4,6,1,4,7,7,7,14,7,10,2,8,6,8,9,9,2,2,8,9,2000196577,7,178 cm
-,,Eric Martel,"D (C), DM, M (C)",GER,21,1. FC Köln,Unknown,Unknown,€5.4M - €16.5M,"€66,500 p/m",-,-,-,Fairly Determined,Media-friendly,Tenacious defensive midfielder,30/6/2026,Reasonable,Very Strong,-,-,2,11,2,16,11,12,13,16,1,12,12,8,12,17,11,7,12,10,3,14,14,2,12,10,13,11,12,13,14,1,16,13,15,16,12,3,3,12,16,91205203,4,188 cm
-,,Marco Höger,"D (R), DM, M (C)",GER,33,1. FC Köln,Unknown,Unknown,€12K - €35K,"€21,500 p/m",-,-,-,Balanced,Level-headed,Experienced midfielder,30/6/2024,Fairly Strong,Very Strong,-,-,1,8,2,11,9,14,15,17,1,12,15,11,14,11,9,9,11,9,2,10,11,1,12,14,12,9,9,13,11,3,13,14,14,17,12,1,3,10,13,92014217,9,182 cm
-,,Dominique Heintz,D (LC),GER,29,1. FC Köln,Unknown,Unknown,€950K - €2.8M,"€66,500 p/m",-,-,-,Fairly Professional,Reserved,Centre-back,30/6/2024,Very Strong,Reasonable,-,-,1,11,2,13,9,13,14,14,2,14,13,8,12,12,8,6,11,6,3,13,14,3,11,8,15,8,12,12,14,1,12,15,13,16,11,3,2,12,12,92018444,3,188 cm
-,,Paul Gelber,ST (C),GER,18,1. FC Köln,Unknown,Unknown,€24K - €70K,"€2,800 p/m",-,-,-,Balanced,Level-headed,Young striker,30/6/2024,Fairly Strong,Very Strong,-,-,2,13,4,12,13,12,6,7,2,3,8,1,7,13,6,11,9,7,2,10,8,1,2,6,4,13,13,6,2,3,6,6,1,5,7,2,2,4,6,2000196579,4,187 cm
-,,Malte Höhn,M/AM (RL),GER,18,1. FC Köln,Unknown,Unknown,€10K - €35K,"€2,800 p/m",-,-,-,Balanced,Level-headed,Young winger,30/6/2024,Fairly Strong,Very Strong,-,-,3,14,4,8,12,6,7,6,2,8,8,9,6,13,10,7,11,6,1,5,6,1,6,7,6,4,12,11,5,3,9,1,8,5,8,1,1,4,9,2000196578,5,169 cm
-,Wnt,Benno Schmitz,"D (RL), WB (R)",GER,28,1. FC Köln,Unknown,Unknown,€1.3M - €4M,"€75,000 p/m",-,-,-,Fairly Professional,Level-headed,Full-back,30/6/2024,Reasonable,Very Strong,-,-,3,12,1,14,11,12,13,14,3,13,13,14,13,13,10,6,12,7,2,11,11,3,10,7,12,12,12,12,12,1,15,12,14,16,12,1,3,12,14,91126210,12,182 cm
-,,Leart Paqarada,D/WB (L),KOS,28,1. FC Köln,Unknown,Unknown,€1.7M - €5M,"€75,000 p/m",-,-,-,Fairly Professional,Level-headed,Full-back,30/6/2026,Very Strong,Weak,-,-,3,13,3,14,12,12,12,12,2,11,12,16,12,13,11,8,13,13,3,7,11,1,14,13,11,13,14,13,12,2,15,10,12,12,14,1,3,13,12,91108276,15,184 cm
-,Yth,Youssoupha Niang,ST (C),SEN,17,1. FC Köln,Unknown,Unknown,€30K - €90K,€275 p/m,-,-,-,Balanced,Level-headed,Young striker,30/6/2024,Reasonable,Very Strong,-,-,2,11,2,10,10,8,7,2,1,7,9,5,10,13,8,13,13,12,3,13,13,3,1,6,4,11,12,7,7,2,7,11,2,6,9,1,3,6,7,2000263482,6,188 cm
-,Yth,Luis Hauer,GK,GER,16,1. FC Köln,Unknown,Unknown,€120K - €350K,€275 p/m,-,-,-,Balanced,Level-headed,Young goalkeeper,30/6/2025,Fairly Strong,Very Strong,-,-,6,12,13,9,9,7,7,15,13,8,5,3,13,13,1,2,3,2,13,1,14,9,9,1,3,2,11,8,9,11,4,6,1,7,4,7,11,6,6,2000263471,4,194 cm
-,,Jacob Christensen,"DM, M (C)",DEN,22,1. FC Köln,Unknown,Unknown,€2.3M - €7M,"€62,500 p/m",-,-,-,Balanced,Level-headed,Defensive midfielder,30/6/2026,Weak,Very Strong,-,-,4,12,3,16,12,14,13,16,3,14,14,9,12,14,12,6,13,9,3,8,10,2,11,9,13,12,12,13,13,1,14,12,13,14,14,1,2,13,14,27137333,11,180 cm
-,,Jaka Čuber-Potočnik,ST (C),SVN,18,1. FC Köln,Unknown,Unknown,€35K - €100K,"€2,800 p/m",-,-,-,Balanced,Level-headed,Young striker,30/6/2024,Reasonable,Very Strong,-,-,2,8,1,13,11,9,8,6,1,6,10,5,11,13,14,14,9,11,1,13,8,1,4,8,7,10,11,8,5,2,6,6,3,7,12,1,3,7,8,2000196612,7,189 cm
-,Wnt,Dimitris Limnios,M/AM (RL),GRE,25,1. FC Köln,Unknown,Unknown,€1.3M,"€70,500 p/m",-,-,-,Balanced,Level-headed,Winger,30/6/2024,Reasonable,Very Strong,-,-,1,15,1,12,13,11,10,12,3,9,11,12,9,12,13,11,12,14,1,8,8,1,7,11,8,13,15,11,8,2,11,9,8,11,13,1,3,12,11,36096206,12,178 cm
-,Inj,Steffen Tigges,ST (C),GER,24,1. FC Köln,Unknown,Unknown,€1.1M - €3.4M,"€58,000 p/m",-,-,-,Resolute,Reserved,Striker,30/6/2026,Very Strong,Reasonable,-,-,2,12,3,13,11,12,13,15,3,12,12,10,12,16,11,13,12,10,3,13,16,1,12,10,8,13,13,11,8,3,13,15,8,16,11,3,1,11,16,92079501,3,193 cm
-,,Luca Waldschmidt,"AM (RLC), ST (C)",GER,27,1. FC Köln,Unknown,Unknown,€2.3M - €6.8M,"€208,000 p/m",-,-,-,Balanced,Media-friendly,Forward,30/6/2025,Very Strong,Reasonable,-,-,1,13,1,9,12,14,14,8,2,12,15,11,13,11,12,12,15,14,3,11,11,2,7,14,6,14,13,14,7,3,12,11,6,12,15,3,1,15,10,91119468,12,181 cm
-,Wnt,Dejan Ljubičić,"DM, M/AM (RC)",AUT,25,1. FC Köln,Unknown,Unknown,€4.3M - €13M,"€104,000 p/m",-,-,-,Fairly Determined,Level-headed,Tireless midfielder,30/6/2025,Weak,Very Strong,-,-,3,13,1,13,12,13,12,14,2,12,12,12,12,17,13,11,13,13,1,11,11,3,13,11,12,15,15,13,12,3,17,12,12,16,13,3,2,13,17,16155354,11,187 cm
-,Yth,Chinedu Chukwukelu,"M/AM (C), ST (C)",NGA,16,1. FC Köln,Unknown,Unknown,€55K - €170K,€275 p/m,-,-,-,Balanced,Level-headed,Young midfielder,30/6/2025,Very Strong,Fairly Strong,-,-,3,12,3,9,12,6,12,6,1,4,9,6,9,13,12,14,9,11,3,8,11,2,9,5,2,6,11,10,6,1,5,11,7,7,12,1,1,8,8,2000263480,6,192 cm
-,Yth,Kian Hekmat,M/AM (L),IRN,17,1. FC Köln,Unknown,Unknown,€35K - €100K,€275 p/m,-,-,-,Balanced,Level-headed,Young winger,30/6/2024,Very Strong,Reasonable,-,-,3,14,3,11,11,5,8,4,3,8,8,10,12,13,12,9,14,11,2,7,6,1,11,4,7,11,13,8,7,2,8,5,2,8,10,2,1,8,9,2000263481,6,179 cm
-,,Davie Selke,ST (C),GER,28,1. FC Köln,Unknown,Unknown,€2.2M - €6.6M,"€129,000 p/m",-,-,-,Driven,Media-friendly,Powerful striker,30/6/2026,Reasonable,Very Strong,-,-,3,13,1,17,11,13,15,18,3,13,11,8,11,18,11,12,11,11,2,16,17,3,13,9,8,12,15,10,10,3,16,15,9,16,11,2,2,11,18,91108866,3,195 cm
-,,Mathias Olesen,"DM, M (C)",LUX,22,1. FC Köln,Unknown,Unknown,€1.4M - €4.3M,"€33,000 p/m",-,-,-,Model Citizen,Level-headed,Tireless midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,11,1,11,11,12,12,11,1,12,11,8,12,16,12,8,11,9,3,12,11,2,11,9,12,10,13,11,12,1,17,14,12,16,11,2,3,13,15,91193053,7,180 cm
-,Wnt,Sargis Adamyan,"AM (RL), ST (C)",ARM,30,1. FC Köln,Unknown,Unknown,€1.5M,"€125,000 p/m",-,-,-,Balanced,Media-friendly,Nomadic striker,30/6/2026,Fairly Strong,Very Strong,-,-,1,14,2,14,13,12,12,12,2,9,11,10,11,12,13,11,12,13,1,10,10,2,7,10,8,13,14,12,8,2,12,10,10,11,13,1,2,12,14,92057768,8,184 cm
-,,Marlon Monning,D/WB (R),GER,18,1. FC Köln,Unknown,Unknown,€16K - €50K,"€2,800 p/m",-,-,-,Balanced,Level-headed,Young full-back,30/6/2024,Weak,Very Strong,-,-,2,11,1,11,11,6,8,9,3,9,6,12,11,13,5,5,8,5,2,8,9,1,11,6,8,7,13,9,9,1,10,6,13,8,7,4,4,7,8,2000133480,6,175 cm
-,,Matthias Köbbing,GK,GER,26,1. FC Köln,Unknown,Unknown,€4.5K - €14K,"€12,500 p/m",-,-,-,Balanced,Level-headed,Goalkeeper,30/6/2025,Weak,Very Strong,-,-,9,13,13,10,11,13,7,12,8,11,5,1,13,13,3,1,4,2,11,1,15,11,7,2,1,2,13,6,11,13,6,7,2,7,1,4,12,3,6,92091170,1,196 cm
-,Yth,Abdul Yilmaz,M/AM (R),TUR,17,1. FC Köln,Unknown,Unknown,€26K - €80K,€275 p/m,-,-,-,Balanced,Level-headed,Young winger,30/6/2024,Fairly Strong,Very Strong,-,-,3,14,2,5,14,6,7,5,1,4,8,9,11,13,8,8,10,11,1,3,8,3,1,6,5,7,14,8,2,1,7,5,5,7,12,2,3,6,8,2000263478,5,178 cm
-,Yth,San-Luca Spitali,D/WB (L),GER,16,1. FC Köln,Unknown,Unknown,€80K - €240K,€275 p/m,-,-,-,Fairly Loyal,Media-friendly,Young full-back,30/6/2025,Very Strong,Reasonable,-,-,2,15,3,14,14,5,4,8,1,5,8,9,12,8,6,2,9,10,1,8,9,3,1,4,8,7,15,8,7,2,9,6,12,8,9,2,3,6,8,2000270867,5,177 cm
-,,Julian Chabot,D (C),GER,25,1. FC Köln,Unknown,Unknown,€3.4M - €10M,"€75,000 p/m",-,-,-,Fairly Determined,Media-friendly,Powerful centre-back,30/6/2026,Very Strong,Weak,-,-,3,11,1,16,9,15,16,16,2,13,12,7,12,16,9,6,11,7,3,16,17,1,12,6,14,8,12,12,14,2,12,17,14,12,11,1,2,10,15,91177332,2,195 cm
-,,Javi Sola,"DM, M (C)",ESP,17,A. Bilbao,Unknown,Unknown,€130K - €400K,"€1,300 p/m",-,€20M,-,Fairly Determined,Media-friendly,Young midfielder,30/6/2026,Very Strong,Reasonable,-,-,1,9,2,15,8,11,15,8,3,5,7,2,15,16,9,9,14,5,1,8,11,4,3,13,10,8,9,13,7,1,7,6,10,13,11,1,3,8,12,2000275409,6,188 cm
-,Wnt,Aitor Paredes,D (C),ESP,23,A. Bilbao,Unknown,Unknown,€850K - €2.6M,"€17,750 p/m",-,€5.25M,-,Balanced,Media-friendly,Centre-back,30/6/2025,Reasonable,Very Strong,-,-,3,13,1,13,13,12,8,12,2,12,11,9,12,11,7,8,13,7,1,14,12,1,9,7,13,9,13,13,13,4,13,13,13,13,13,2,2,12,14,67276232,7,186 cm
-,,Oihan Sancet,M/AM (C),ESP,23,A. Bilbao,Unknown,Unknown,€15M - €45M,"€140,000 p/m",-,€30M,-,Resolute,Reserved,Midfielder,30/6/2032,Fairly Strong,Very Strong,-,-,1,14,2,9,14,14,8,10,1,14,13,8,15,17,13,12,15,16,3,11,14,2,12,9,9,14,14,15,14,1,14,14,9,14,15,1,2,15,15,67260204,7,188 cm
-,,Beñat García,M (C),ESP,16,A. Bilbao,Unknown,Unknown,€200K - €600K,"€1,500 p/m",-,€10M,-,Fairly Determined,Media-friendly,Young midfielder,30/6/2026,Reasonable,Very Strong,-,-,1,14,3,15,9,10,12,7,2,3,6,7,6,17,8,10,13,10,1,7,14,2,6,7,9,12,11,14,5,3,10,7,10,10,8,1,3,9,8,2000287935,7,190 cm
-,Wnt,Gorka Guruzeta,"AM (RL), ST (C)",ESP,26,A. Bilbao,Unknown,Unknown,€650K - €2M,"€30,000 p/m",-,€8M,-,Balanced,Level-headed,Striker,30/6/2024,Reasonable,Very Strong,-,-,3,13,2,13,13,13,7,13,3,9,12,9,9,13,12,14,13,15,2,15,12,2,9,8,8,14,12,11,14,3,14,12,8,12,13,3,2,11,13,67200930,7,188 cm
-,,Oier Ariznabarreta,GK,ESP,17,A. Bilbao,Unknown,Unknown,€20K - €60K,"€1,300 p/m",-,€10M,-,Fairly Ambitious,Media-friendly,Young goalkeeper,30/6/2025,Reasonable,Very Strong,-,-,11,10,5,7,9,10,2,10,8,9,7,1,14,13,2,3,1,1,11,1,9,10,11,3,2,3,9,6,5,14,3,6,2,7,3,6,6,6,6,2000280051,3,183 cm
-,,Unai Simón,GK,ESP,26,A. Bilbao,Unknown,Unknown,€59M - €178M,"€213,000 p/m",-,€1B,-,Fairly Determined,Level-headed,Goalkeeper,30/6/2025,Reasonable,Very Strong,-,-,15,13,16,13,14,13,7,12,15,13,15,2,14,15,2,3,13,3,14,13,15,13,12,2,1,2,13,12,15,16,12,12,2,13,13,15,13,14,12,67200923,7,190 cm
-,,Eneko Ellakuria,M (C),ESP,16,A. Bilbao,Unknown,Unknown,€900K - €2.7M,"€1,500 p/m",-,€10M,-,Balanced,Media-friendly,Promising midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,8,3,13,11,10,7,7,1,9,6,5,10,1,8,7,15,7,3,5,14,2,8,9,10,12,13,13,6,3,5,10,10,12,15,2,2,10,7,2000287681,8,185 cm
-,,Dani Vivian,"D (C), DM",ESP,23,A. Bilbao,Unknown,Unknown,€41M - €123M,"€123,000 p/m",-,€82M,-,Perfectionist,Reserved,Centre-back,30/6/2026,Reasonable,Very Strong,-,-,1,13,2,13,13,13,9,15,2,14,15,8,14,15,10,9,12,8,3,15,13,3,14,7,14,8,15,13,14,1,15,13,14,15,14,2,1,12,14,67256618,8,183 cm
-,,Iñaki Williams,"M (RL), AM (RLC), ST (C)",GHA,29,A. Bilbao,Unknown,Unknown,€67M - €202M,"€956,000 p/m",-,€135M,-,Balanced,Level-headed,Pacy goalscorer,30/6/2028,Reasonable,Very Strong,-,-,3,16,1,10,13,12,11,15,2,12,11,12,12,12,14,13,14,11,1,13,12,3,7,10,7,14,18,10,11,1,14,13,7,12,14,3,1,12,15,67184349,7,186 cm
-,,Dani García,"DM, M (C)",ESP,33,A. Bilbao,Unknown,Unknown,€4.9M - €14.5M,"€78,000 p/m",-,€70M,-,Fairly Professional,Level-headed,Experienced midfielder,30/6/2024,Reasonable,Very Strong,-,-,3,12,1,15,13,12,13,15,3,14,14,10,13,13,10,8,14,13,1,13,10,3,15,10,14,11,12,13,15,3,13,14,15,18,13,1,2,11,17,67104797,11,180 cm
-,,Ander Fernández,"D (C), DM, M (C)",ESP,17,A. Bilbao,Unknown,Unknown,€100K - €300K,"€1,300 p/m",-,€20M,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Reasonable,Very Strong,-,-,3,11,1,14,13,10,8,8,3,13,4,6,13,12,7,3,8,5,1,9,13,2,8,8,12,7,12,7,7,1,7,7,14,8,6,3,2,6,9,2000217254,5,188 cm
